Thread Count,Trial,Parallel Time,Array Size,Chunk Size
1,1,7.62683999991417,100000,10000
1,2,17.877210000038147,100000,10000
1,3,20.630620000123976,100000,10000
2,1,12.331754999876022,100000,10000
2,2,12.821794999837875,100000,10000
2,3,12.450040000200271,100000,10000
3,1,9.724365000009536,100000,10000
3,2,9.780005000114441,100000,10000
3,3,9.781884999990464,100000,10000
4,1,8.526230000019073,100000,10000
4,2,8.537474999904633,100000,10000
4,3,8.346289999961853,100000,10000
5,1,6.659894999980927,100000,10000
5,2,8.078335000038146,100000,10000
5,3,7.52743499994278,100000,10000
6,1,7.346139999866486,100000,10000
6,2,8.023010000228881,100000,10000
6,3,9.639470000028611,100000,10000
7,1,5.942705000162125,100000,10000
7,2,1.8010599999427794,100000,10000
7,3,8.048569999933243,100000,10000
8,1,2.6753250000476836,100000,10000
8,2,5.693344999790192,100000,10000
8,3,7.191839999914169,100000,10000
