Thread Count,Trial,Parallel Time,Serial Time,Array Size,Chunk Size
1,1,2.892435000181198,2.56484500002861,100000,5000
1,2,2.8675549998283385,2.584755000114441,100000,5000
1,3,2.863944999933243,2.5878650000095367,100000,5000
1,4,2.914740000009537,2.584354999780655,100000,5000
1,5,2.8702949998378755,2.586359999895096,100000,5000
2,1,1.5816449999809266,2.58559500002861,100000,5000
2,2,1.5766749999523162,2.592789999961853,100000,5000
2,3,1.5762950000762939,2.5872900002002717,100000,5000
2,4,1.580534999847412,2.5950300002098086,100000,5000
2,5,1.6046849999427795,2.7118849999904633,100000,5000
3,1,2.5505599999427795,2.623549999952316,100000,5000
3,2,1.195244999885559,2.620369999885559,100000,5000
3,3,1.1627900002002716,2.6356899998188017,100000,5000
3,4,1.1618150000572205,2.653909999847412,100000,5000
3,5,1.158204999923706,2.5999300000667573,100000,5000
4,1,0.8955699999332428,2.5915599999427794,100000,5000
4,2,0.8987599999904633,2.6011849999427796,100000,5000
4,3,0.9010149998664856,2.6276749999523163,100000,5000
4,4,0.8989049999713897,2.6133699998855593,100000,5000
4,5,0.9073600001335144,2.595579999923706,100000,5000
5,1,0.8186050000190734,2.5792999999523163,100000,5000
5,2,0.7993450000286102,2.584310000181198,100000,5000
5,3,0.8278649997711182,2.5905950000286104,100000,5000
5,4,0.7931800000667572,2.584630000114441,100000,5000
5,5,0.7967549998760224,2.6391849999427794,100000,5000
6,1,0.7914649999141693,2.598539999961853,100000,5000
6,2,0.7588099999427795,2.7219000000953675,100000,5000
6,3,0.7744199998378754,2.5992699999809266,100000,5000
6,4,0.7350149998664856,2.597079999923706,100000,5000
6,5,0.7277649998664856,2.635899999856949,100000,5000
7,1,0.6842000000476837,2.600884999990463,100000,5000
7,2,0.7115800001621246,2.629585000038147,100000,5000
7,3,0.6841700000762939,2.6032150001525878,100000,5000
7,4,0.6795699999332429,2.617339999914169,100000,5000
7,5,0.6935249998569488,2.5896949999332426,100000,5000
8,1,0.687744999885559,2.6521650002002715,100000,5000
8,2,0.7604349999427795,2.6254400000572207,100000,5000
8,3,0.6498199999332428,2.598675000190735,100000,5000
8,4,0.6532250001430512,2.622380000114441,100000,5000
8,5,0.6628700001239777,2.582179999828339,100000,5000
