Thread Count,Trial,Parallel Time,Serial Time,Array Size,Chunk Size
1,1,5.398164999961853,2.5876749999523163,100000,5000
1,2,2.885329999923706,2.5650849997997285,100000,5000
1,3,2.8795449998378753,2.555034999847412,100000,5000
1,4,2.872664999961853,2.7839800000190733,100000,5000
1,5,2.8698550000190735,2.8651150000095367,100000,5000
2,1,1.5810499999523162,2.667954999923706,100000,5000
2,2,1.5968500001430512,2.562485000133514,100000,5000
2,3,1.5798049998283386,2.881319999933243,100000,5000
2,4,1.579475000143051,2.877255000114441,100000,5000
2,5,1.5849500000476837,2.545710000038147,100000,5000
3,1,1.1384049999713897,2.541060000181198,100000,5000
3,2,1.1356600000858308,2.5408099999427796,100000,5000
3,3,1.1376300001144408,2.546329999923706,100000,5000
3,4,1.1395900001525878,2.5501150000095367,100000,5000
3,5,1.1438199999332428,2.5415750000476836,100000,5000
4,1,0.8865900001525879,2.556,100000,5000
4,2,0.885625,2.5458249998092652,100000,5000
4,3,0.8873700001239777,2.53925,100000,5000
4,4,0.8873100001811981,2.541295000076294,100000,5000
4,5,0.8865600001811981,2.5440099999904633,100000,5000
5,1,0.7747849998474121,2.5450550000667573,100000,5000
5,2,0.8824049999713898,2.6214199998378755,100000,5000
5,3,3.808005000114441,2.5650699999332427,100000,5000
5,4,0.7981449999809265,2.5504049999713896,100000,5000
5,5,0.7829699997901917,2.556194999933243,100000,5000
6,1,0.7293299999237061,2.5500250000953675,100000,5000
6,2,0.7353850002288819,2.5476749999523163,100000,5000
6,3,0.7394849998950959,2.543365000009537,100000,5000
6,4,0.7173599998950958,2.5450199999809264,100000,5000
6,5,0.7137149999141693,2.548880000114441,100000,5000
7,1,0.6646749999523163,2.5995049998760225,100000,5000
7,2,0.8054000000953674,2.5516500000953672,100000,5000
7,3,4.93306500005722,2.5657099997997284,100000,5000
7,4,0.6908450000286103,2.546,100000,5000
7,5,0.6755,2.545840000152588,100000,5000
8,1,0.6359300000667572,2.543164999961853,100000,5000
8,2,0.6168800001144409,2.5456649999618532,100000,5000
8,3,0.6656349999904633,2.5459649999141694,100000,5000
8,4,0.6373150000572204,2.544590000152588,100000,5000
8,5,0.6315950000286102,2.5466100001335144,100000,5000
