Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,3.5885841669999996,2.21933725,100000
1,2,3.6120385829999995,2.1808930410000005,100000
1,3,3.584937,2.171467958000001,100000
2,1,3.583230749999999,1.1598525420000005,100000
2,2,3.5926765000000014,1.158163084,100000
2,3,3.5975422920000018,1.167765209000001,100000
3,1,3.6484915,0.8155554169999996,100000
3,2,3.5898427500000034,0.8250199999999968,100000
3,3,3.5900271250000007,0.8168511670000007,100000
4,1,3.589184334000005,0.6327795839999962,100000
4,2,3.5913072089999987,0.6268238749999946,100000
4,3,3.602801875000005,0.6252009580000013,100000
5,1,3.5913034589999953,0.5882913750000007,100000
5,2,3.5905603330000084,0.5754822080000013,100000
5,3,3.590190625000003,0.5723437910000067,100000
6,1,3.593321708000003,0.5424285410000012,100000
6,2,3.591543875000003,0.5428845419999998,100000
6,3,3.591405792000005,0.5317794579999899,100000
7,1,3.629028124999997,0.4917296249999927,100000
7,2,3.597798250000007,0.5046951249999984,100000
7,3,3.5921372090000077,0.4920533330000035,100000
8,1,3.627392791999999,0.46268624999999886,100000
8,2,3.591791916000002,0.4763291670000035,100000
8,3,3.5951903750000054,0.46622066600000833,100000
