Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,4.014991125,6.857770959,100000
1,2,4.302837500000002,6.961899708000001,100000
1,3,4.3007335420000015,6.798218833999999,100000
2,1,4.303286416000002,5.857390958000003,100000
2,2,4.350764832999994,5.772180374999996,100000
2,3,4.312324374999997,5.957917209,100000
3,1,4.308134583999999,4.963418583999999,100000
3,2,4.365549041999999,4.985447790999999,100000
3,3,4.316915417000011,4.925573250000001,100000
4,1,4.675854833000005,3.9430917499999922,100000
4,2,4.308433791999996,4.316802874999994,100000
4,3,4.325302333999993,4.001717875000002,100000
5,1,4.390290999999998,3.5137558340000106,100000
5,2,4.334656042000002,3.3388245000000025,100000
5,3,4.3180832079999965,3.316367667000013,100000
6,1,4.366083624999999,2.866025625000009,100000
6,2,4.366078792000015,2.8754458749999756,100000
6,3,4.369393375000014,2.8620996250000026,100000
7,1,4.394322416999988,2.555843957999983,100000
7,2,4.680380166000017,2.568919083999994,100000
7,3,4.486876457999984,2.760863624999998,100000
8,1,4.7857205839999954,2.3169350419999972,100000
8,2,4.599978708999988,2.3573189999999884,100000
8,3,4.426040333000012,2.4457139580000073,100000
