Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,3.654011583,2.222589333,100000
1,2,3.5926254169999994,2.185850125,100000
1,3,3.580588417000001,2.1898149160000013,100000
2,1,3.6092402499999987,1.1642442499999996,100000
2,2,3.5844161249999997,1.1619277500000025,100000
2,3,3.580438957999999,1.1602902080000022,100000
3,1,3.588091542000002,0.815296957999999,100000
3,2,3.5840578749999987,0.8154150829999999,100000
3,3,3.580933250000002,0.814839,100000
4,1,3.5826918340000047,0.6298155409999963,100000
4,2,3.5897044580000004,0.6266007919999974,100000
4,3,3.582166916000002,0.6297824169999949,100000
5,1,3.587176583,0.5950429160000058,100000
5,2,3.5902246250000025,0.5831637499999998,100000
5,3,3.582037625000012,0.5650589170000021,100000
6,1,3.5814607079999985,0.5230353340000001,100000
6,2,3.581718624999994,0.538121708000006,100000
6,3,3.5795438330000033,0.5238484590000008,100000
7,1,3.591229208000004,0.49319779100001326,100000
7,2,3.598949583000009,0.49033775000000607,100000
7,3,3.581596749999997,0.4960775419999991,100000
8,1,3.581549749999991,0.4530770840000041,100000
8,2,3.57934212500001,0.4663281669999997,100000
8,3,3.5809242080000114,0.46440716600000453,100000
