Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,6.360534912109375,6.18990087890625,1000000
1,2,6.325657958984375,6.45885205078125,1000000
1,3,6.330375,6.418662841796875,1000000
1,4,6.31318115234375,6.622467041015625,1000000
1,5,6.4199990234375,6.644744873046875,1000000
2,1,6.5707177734375,3.36352392578125,1000000
2,2,6.365912109375,3.30756982421875,1000000
2,3,6.566797119140625,3.389632080078125,1000000
2,4,6.700464111328125,3.3388291015625,1000000
2,5,6.613364990234375,3.32385498046875,1000000
3,1,6.323453857421875,2.31752099609375,1000000
3,2,6.39762890625,2.33072705078125,1000000
3,3,6.46881298828125,2.361666015625,1000000
3,4,6.382532958984375,2.289953857421875,1000000
3,5,6.34160595703125,2.29214599609375,1000000
4,1,6.323448974609375,1.72227880859375,1000000
4,2,6.32776708984375,1.72505712890625,1000000
4,3,6.342516845703125,1.82144482421875,1000000
4,4,6.5988310546875,1.7480068359375,1000000
4,5,6.518844970703125,1.840708984375,1000000
5,1,6.64710595703125,1.453748046875,1000000
5,2,6.357387939453125,1.463324951171875,1000000
5,3,6.40381689453125,1.538825927734375,1000000
5,4,6.544298095703125,1.44293994140625,1000000
5,5,6.359885986328125,1.437044189453125,1000000
6,1,6.32094482421875,1.2040029296875,1000000
6,2,6.3614130859375,1.255598876953125,1000000
6,3,6.436890869140625,1.243614990234375,1000000
6,4,6.327465087890625,1.1925439453125,1000000
6,5,6.369929931640625,1.189532958984375,1000000
7,1,6.351198974609375,1.53343896484375,1000000
7,2,6.36636083984375,1.5471279296875,1000000
7,3,6.340719970703125,1.536286865234375,1000000
7,4,6.32823388671875,1.5672841796875,1000000
7,5,6.360251953125,1.53818701171875,1000000
8,1,6.34751513671875,1.438885986328125,1000000
8,2,6.340469970703125,1.4355322265625,1000000
8,3,6.328428955078125,1.48135205078125,1000000
8,4,6.3222529296875,1.438490966796875,1000000
8,5,6.3241591796875,1.43773193359375,1000000
