Thread Count,Trial,Parallel Time,Array Size,Chunk Size
1,1,2.6895700000002982,100000,50
1,2,2.618944999999367,100000,50
1,3,2.637959999999963,100000,50
1,4,2.585180000000633,100000,50
1,5,5.574589999999851,100000,50
2,1,1.4901449999995529,100000,50
2,2,7.131004999999888,100000,50
2,3,7.787399999999441,100000,50
2,4,1.3995149999996648,100000,50
2,5,7.154879999999888,100000,50
3,1,5.376640000000596,100000,50
3,2,5.336945000000298,100000,50
3,3,5.445599999999628,100000,50
3,4,5.141799999999813,100000,50
3,5,5.210849999999628,100000,50
4,1,3.4772050000000747,100000,50
4,2,3.467350000000559,100000,50
4,3,4.1049400000004095,100000,50
4,4,3.5095149999996647,100000,50
4,5,3.662125,100000,50
5,1,4.798839999999851,100000,50
5,2,0.6901499999994412,100000,50
5,3,0.695695000000298,100000,50
5,4,4.364839999999851,100000,50
5,5,4.417629999999888,100000,50
6,1,4.256785000000149,100000,50
6,2,4.023780000000261,100000,50
6,3,4.5625,100000,50
6,4,4.6504000000003725,100000,50
6,5,4.497634999999777,100000,50
7,1,4.561195000000298,100000,50
7,2,4.412,100000,50
7,3,4.561004999999888,100000,50
7,4,0.5892050000000745,100000,50
7,5,0.5867350000003353,100000,50
8,1,1.9455149999996648,100000,50
8,2,0.5493050000006333,100000,50
8,3,0.5497449999991805,100000,50
8,4,3.5171299999998884,100000,50
8,5,3.7352700000004844,100000,50
