Thread Count,Trial,Parallel Time,Array Size,Chunk Size
1,1,2.009510000228882,100000,50
1,2,2.5760149998664854,100000,50
1,3,2.580880000114441,100000,50
1,4,2.5705599999427795,100000,50
1,5,2.5755199999809264,100000,50
2,1,1.091085000038147,100000,50
2,2,1.3707999997138978,100000,50
2,3,1.3738450002670288,100000,50
2,4,1.4470700001716614,100000,50
2,5,3.8506500000953676,100000,50
3,1,2.337879999637604,100000,50
3,2,0.968329999923706,100000,50
3,3,0.9687400002479554,100000,50
3,4,0.9689699997901916,100000,50
3,5,0.968130000114441,100000,50
4,1,0.7973550000190734,100000,50
4,2,0.7514300003051758,100000,50
4,3,0.7498150000572205,100000,50
4,4,0.7640750002861023,100000,50
4,5,0.7770199999809265,100000,50
5,1,4.620935000419617,100000,50
5,2,4.466185000419617,100000,50
5,3,4.125710000038147,100000,50
5,4,4.348449999809265,100000,50
5,5,3.839704999923706,100000,50
6,1,3.6810850000381468,100000,50
6,2,3.6232699999809266,100000,50
6,3,3.7479800000190733,100000,50
6,4,3.7745950002670288,100000,50
6,5,4.174660000324249,100000,50
7,1,3.841304999828339,100000,50
7,2,4.095889999866485,100000,50
7,3,3.527664999961853,100000,50
7,4,2.6740949997901917,100000,50
7,5,0.6226700000762939,100000,50
8,1,0.6059450001716614,100000,50
8,2,0.5606800003051757,100000,50
8,3,0.5497699999809265,100000,50
8,4,0.5901149997711181,100000,50
8,5,0.544329999923706,100000,50
